year,value
1950,-0.168438
1951,-0.176871
1952,-0.171666
1953,-0.162402
1954,-0.18018
1955,-0.182864
1956,-0.193933
1957,-0.171315
1958,-0.167238
1959,-0.154223
1960,-0.149365
1961,-0.129785
1962,-0.160938
1963,-0.278421
1964,-0.352475
1965,-0.312157
1966,-0.269939
1967,-0.317798
1968,-0.265278
1969,-0.249903
1970,-0.207127
1971,-0.192838
1972,-0.21464
1973,-0.173913
1974,-0.139712
1975,-0.188572
1976,-0.189678
1977,-0.116808
1978,-0.11311
1979,-0.0978936
1980,-0.0504638
1981,-0.0157017
1982,-0.0670795
1983,-0.169789
1984,-0.0946231
1985,-0.0549051
1986,-0.0330476
1987,0.0118757
1988,0.0492045
1989,0.13452
1990,0.211263
1991,0.17761
1992,-0.123937
1993,-0.0712995
1994,0.0483494
1995,0.103271
1996,0.193758
1997,0.251474
1998,0.265006
1999,0.306082
2000,0.355595
2001,0.4227
2002,0.441374
2003,0.473039
2004,0.498313
2005,0.494466
2006,0.481231
2007,0.517532
2008,0.561755
2009,0.559624
2010,0.58479
2011,0.607461
2012,0.671179
2013,0.68675
2014,0.695965
2015,0.678298
2016,0.714012
2017,0.768596
2018,0.771618
2019,0.781405
2020,0.799757
2021,0.85699
2022,0.930005
2023,0.964047
2024,0.989838
2025,1.00721
2026,1.04291
2027,1.07185
2028,1.09012
2029,1.14296
2030,1.12299
2031,1.16835
2032,1.21064
2033,1.24502
2034,1.25553
2035,1.25647
2036,1.32639
2037,1.38112
2038,1.41439
2039,1.42243
2040,1.43519
2041,1.45931
2042,1.49111
2043,1.50678
2044,1.52052
2045,1.55811
2046,1.63175
2047,1.668
2048,1.72892
2049,1.7296
2050,1.70076
2051,1.76667
2052,1.8086
2053,1.80821
2054,1.81706
2055,1.86334
2056,1.86706
2057,1.93518
2058,1.96453
2059,2.00014
2060,2.01409
2061,1.98806
2062,2.01643
2063,2.06541
2064,2.07627
2065,2.09157
2066,2.10976
2067,2.12772
2068,2.17179
2069,2.20697
2070,2.20698
2071,2.23896
2072,2.26656
2073,2.30259
2074,2.28902
2075,2.29716
2076,2.33579
2077,2.37623
2078,2.38861
2079,2.39071
2080,2.39639
2081,2.43465
2082,2.47744
2083,2.48971
2084,2.48444
2085,2.51117
2086,2.53793
2087,2.54391
2088,2.54418
2089,2.55751
2090,2.57389
2091,2.609
2092,2.62168
2093,2.65438
2094,2.66036
2095,2.68369
2096,2.67689
2097,2.64429
2098,2.65393
2099,2.68085
2100,2.70421
